symbol,ts,open,high,low,close,volume,count
ETH,2026-05-10 08:00:00+00:00,2327.0,2332.9,2318.3,2322.5,14876.7719,9624
ETH,2026-05-10 12:00:00+00:00,2322.4,2351.0,2320.6,2347.5,24095.5131,14923
ETH,2026-05-10 16:00:00+00:00,2347.6,2367.7,2339.8,2365.1,79357.117,32177
ETH,2026-05-10 20:00:00+00:00,2365.2,2382.3,2310.6,2370.6,132771.9917,52889
ETH,2026-05-11 00:00:00+00:00,2370.7,2374.3,2319.2,2329.8,71222.8239,34421
ETH,2026-05-11 04:00:00+00:00,2329.9,2341.0,2326.0,2330.0,16139.1174,13614
ETH,2026-05-11 08:00:00+00:00,2330.0,2339.1,2326.0,2335.3,19423.4997,12842
ETH,2026-05-11 12:00:00+00:00,2335.3,2338.2,2302.1,2332.7,82119.9091,36789
ETH,2026-05-11 16:00:00+00:00,2332.6,2343.5,2322.5,2339.5,51500.1832,23978
ETH,2026-05-11 20:00:00+00:00,2339.5,2345.3,2334.4,2339.0,32053.0684,14323
ETH,2026-05-12 00:00:00+00:00,2339.0,2340.0,2293.6,2308.3,55000.7857,24666
ETH,2026-05-12 04:00:00+00:00,2308.4,2313.4,2290.8,2294.5,30697.1922,18265
ETH,2026-05-12 08:00:00+00:00,2294.5,2295.1,2278.0,2285.8,51038.9852,25790
ETH,2026-05-12 12:00:00+00:00,2285.9,2293.3,2255.4,2260.6,85942.3999,47140
ETH,2026-05-12 16:00:00+00:00,2260.5,2286.5,2255.2,2283.7,41561.8576,29404
ETH,2026-05-12 20:00:00+00:00,2283.7,2290.2,2272.8,2273.7,19205.1457,19959
ETH,2026-05-13 00:00:00+00:00,2273.7,2303.5,2272.4,2301.2,63025.6762,27898
ETH,2026-05-13 04:00:00+00:00,2301.3,2308.1,2295.3,2300.6,14011.8765,14220
ETH,2026-05-13 08:00:00+00:00,2300.6,2323.2,2298.1,2301.3,38286.4322,21083
ETH,2026-05-13 12:00:00+00:00,2301.3,2306.8,2233.6,2235.8,119278.5649,51909
ETH,2026-05-13 16:00:00+00:00,2235.8,2267.9,2234.7,2256.1,70406.5442,30524
ETH,2026-05-13 20:00:00+00:00,2256.1,2263.8,2250.1,2258.0,18660.0817,14666
ETH,2026-05-14 00:00:00+00:00,2258.0,2269.0,2237.7,2241.3,26218.938,19886
ETH,2026-05-14 04:00:00+00:00,2241.3,2274.5,2238.5,2264.3,23630.642,17572
ETH,2026-05-14 08:00:00+00:00,2264.3,2270.0,2251.3,2252.9,51884.8707,22712
ETH,2026-05-14 12:00:00+00:00,2252.8,2298.5,2245.1,2297.5,84214.4718,38768
